trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.9790609845195051}",25,0,-93.45662089336672,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.9780309147241483}",20,0,-147.71533735514979,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
44,False,"{'a': 0.5, 'e': 0.9769763942068623}",20,0,-54.59071777542517,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.9758974493306055}",30,0,-70.23250386685666,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.9747941070689433}",20,0,-74.09366857418944,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.9736663950053749}",20,0,-90.0585593289966,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.972514341332643}",35,0,-172.60031902347765,"{0: 20, 1: 3, 2: 8, 3: 3, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.9713379748520297}",20,0,-38.07020476594037,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.9701373249726354}",25,0,-98.96735294603674,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.9689124217106447}",20,0,-202.99489686969395,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
52,False,"{'a': 0.5, 'e': 0.9676632956885756}",30,0,-101.13351925817268,"{0: 23, 1: 0, 2: 5, 3: 0, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.9663899781345132}",30,0,-190.1991479678779,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.9650925008813303}",20,0,-58.07973013052236,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.9637708963658905}",30,0,-113.8227958375367,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.962425197628238}",25,0,-53.12821524545678,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.9610554383107709}",25,0,-200.117069079833,"{0: 11, 1: 4, 2: 7, 3: 0, 4: 3}",0
58,False,"{'a': 0.5, 'e': 0.9596616526574011}",25,0,-58.01498438737208,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.9582438755126972}",30,0,-266.4916982985081,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 5}",0
60,False,"{'a': 0.5, 'e': 0.9568021423210139}",25,9,-28.80398359300239,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.955336489125606}",25,0,-177.68123258267823,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
62,False,"{'a': 0.5, 'e': 0.9538469525677271}",35,0,-187.92888549593457,"{0: 21, 1: 1, 2: 10, 3: 1, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.9523335698857134}",25,0,-114.99123706315696,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.9507963789140532}",20,0,-79.20567068435221,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.9492354180824408}",25,0,-64.4473357328656,"{0: 17, 1: 6, 2: 1, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.9476507264148157}",30,0,-82.33530682569388,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.946042343528387}",20,0,-33.74162062098309,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.944410309632643}",30,9,-28.21506877673384,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 1}",1
69,False,"{'a': 0.5, 'e': 0.9427546655283462}",25,10,-36.71041126723247,"{0: 8, 1: 4, 2: 3, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.941075452606513}",30,0,-180.02791327398631,"{0: 14, 1: 4, 2: 9, 3: 2, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.9393727128473789}",20,0,-7.370028006090246,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.9376464888193493}",20,0,-120.13888377090713,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.9358968236779348}",25,0,-163.33087825107037,"{0: 11, 1: 5, 2: 5, 3: 3, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.9341237611646731}",20,0,-106.11753505059752,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.9323273456060345}",20,0,-72.88350870292783,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.9305076219123143}",20,0,-120.48843230431528,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.9286646355765102}",25,0,-93.04851231097217,"{0: 14, 1: 7, 2: 3, 3: 0, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.9267984326731847}",20,0,-183.11750227676723,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
79,False,"{'a': 0.5, 'e': 0.9249090598573131}",30,0,-115.9881605720991,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
80,False,"{'a': 0.5, 'e': 0.9229965643631173}",20,0,-55.158876024043785,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
